node_id,sigma_xx
513,42.0475
74,47.305
549,37.44
543,38.015
66,42.12
67,42.765
463,36.2875
550,36.864999999999995
64,40.825
65,41.474999999999994
557,39.167500000000004
69,44.065
558,38.5925
68,43.415000000000006
603,33.985
597,34.56
60,38.235
61,38.88
604,33.4075
59,37.584999999999994
571,32.832499999999996
58,36.935
611,35.7125
63,40.175
612,35.135
62,39.525000000000006
653,29.9525
647,30.527500000000003
53,33.695
54,34.345
654,29.375
52,33.045
229,28.799999999999997
51,32.4
659,24.1925
663,32.255
57,36.285
660,23.759999999999998
662,31.68
56,35.64
661,23.3275
664,31.105
55,34.995000000000005
737,28.225
50,31.755
164,-30.455
165,-29.805
711,-26.495
706,-27.0725
712,-19.8725
705,-20.305
707,-13.247499999999999
704,-13.535
689,-25.345
713,-25.92
166,-29.16
167,-28.515
690,-19.0075
714,-19.439999999999998
721,-27.6475
163,-31.105
722,-20.735
750,-17.7125
756,-17.28
752,-11.52
749,-11.807500000000001
757,-16.8475
753,-11.2325
681,-16.415
682,-10.945
170,-26.564999999999998
171,-25.92
758,-23.04
751,-23.615000000000002
680,-21.8875
759,-22.465
172,-25.275
173,-24.625
764,-18.575000000000003
760,-12.385
691,-12.6725
765,-18.145
761,-12.095
168,-27.865000000000002
766,-24.767500000000002
767,-24.192500000000003
169,-27.215
804,-15.120000000000001
810,-14.6875
806,-9.7925
803,-10.08
811,-14.254999999999999
807,-9.504999999999999
789,-13.825
790,-9.215
176,-22.68
177,-22.035
812,-19.585
805,-20.16
788,-18.4325
813,-19.0075
178,-21.384999999999998
179,-20.735
174,-23.975
818,-21.3125
819,-15.985
814,-10.655
820,-20.735
175,-23.325
821,-15.5525
183,-18.145
184,-17.495
856,-15.5525
851,-16.127499999999998
857,-11.665
850,-12.094999999999999
852,-7.775
849,-8.065
671,-14.4
858,-14.975
185,-16.845
186,-16.2
672,-10.8
859,-11.2325
866,-17.28
868,-17.855
180,-20.085
181,-19.44
867,-12.959999999999999
869,-13.3925
870,-16.705
182,-18.795
871,-12.5275
935,-10.3675
931,-6.9125000000000005
673,-7.2
187,-15.555
937,-13.825
709,-6.625
703,-6.7675
699,0.0
700,0.0
708,-12.959999999999999
710,-6.4799999999999995
698,0.0
692,-6.335
693,0.0
716,-13.825000000000001
718,-6.9125
701,0.0
731,6.625
726,6.7675
742,6.9125
754,-5.76
748,-5.905
744,0.0
745,0.0
683,-5.4725
755,-5.615
684,0.0
743,0.0
762,-6.1925
747,0.0
763,-6.0475
746,0.0
778,5.76
771,5.905
786,6.1925
694,6.335
787,6.0475
808,-4.8950000000000005
802,-5.04
798,0.0
799,0.0
809,-4.7524999999999995
797,0.0
791,-4.6075
792,0.0
816,-5.3275
801,0.0
815,-10.3675
817,-5.185
800,0.0
832,4.8950000000000005
825,5.04
840,5.3275
685,5.4725
841,5.185
854,-3.8875
848,-4.0325
843,0.0
844,0.0
853,-7.4875
855,-3.745
842,0.0
674,-3.6
675,0.0
860,-8.9275
864,-4.465
847,0.0
861,-8.64
863,-4.32
846,0.0
865,-4.175
862,-8.3525
845,0.0
882,3.8875
875,4.0325
933,-3.455
918,0.0
957,3.455
676,3.6
921,-9.504999999999999
927,-9.0725
923,-6.047499999999999
920,-6.335
928,-8.64
924,-5.76
906,-8.21
907,-5.47
189,-14.254999999999999
190,-13.61
929,-12.0975
922,-12.6725
905,-10.9475
930,-11.5225
191,-12.965
192,-12.315000000000001
936,-9.935
932,-6.625
938,-13.2475
188,-14.905000000000001
966,-6.9125
972,-6.4799999999999995
968,-4.32
965,-4.6075
973,-6.047499999999999
969,-4.0325
897,-5.6125
898,-3.745
195,-10.375
196,-9.725000000000001
974,-8.6425
967,-9.22
896,-7.484999999999999
975,-8.065
197,-9.075
198,-8.425
193,-11.665
980,-10.370000000000001
981,-7.7775
976,-5.1825
982,-9.795
194,-11.02
983,-7.345000000000001
201,-6.415
202,-5.705
1026,-5.0825000000000005
1021,-5.705
1027,-3.85
1020,-4.2975
1022,-2.63
1019,-2.9025
1004,-3.7675
1028,-4.4375
203,-4.965
204,-4.1899999999999995
1005,-2.9375
1029,-3.3975
1034,-5.1775
1030,-3.46
1035,-4.74
1031,-3.1799999999999997
199,-7.765
1036,-6.9
1037,-6.3075
200,-7.095
1066,-1.0075
1072,-0.56
1068,-0.505
1065,-0.88
1073,-0.215
1069,-0.1975
213,-0.08
214,-0.07500000000000001
208,-1.0050000000000001
209,-0.445
1074,-0.5125000000000001
1067,-1.0325
210,-0.125
1075,-0.1725
211,-0.03
212,-0.055
1082,-2.3649999999999998
1084,-3.0725
205,-3.375
206,-2.545
1083,-1.98
1085,-2.465
1086,-1.67
207,-1.7349999999999999
1087,-1.49
925,-3.0225
919,-3.1675
915,0.0025000000000000022
916,0.0
908,-2.7325
926,-2.8775
909,0.0025000000000000022
914,0.0050000000000000044
934,-3.3125
917,0.0
949,3.025
942,3.1675
970,-2.1575
964,-2.3
960,0.0050000000000000044
961,0.0050000000000000044
899,-1.875
971,-2.015
900,-0.0050000000000000044
959,0.0025000000000000022
978,-2.59
963,0.0
977,-4.895
979,-2.445
962,0.0025000000000000022
994,2.1625
987,2.3075
1002,2.5925
910,2.7375
1024,-1.395
1018,-1.5
1014,-0.125
1015,-0.07250000000000004
1007,-1.245
1025,-1.31
1023,-2.3675
1006,-2.11
1008,-0.3125
1013,-0.2025
1032,-1.74
1017,-0.017499999999999988
1033,-1.615
1016,-0.037500000000000006
1046,1.19
