elements;ElementStresses2D&3DXX_NoLayer_NoSystem_fa;ElementStresses2D&3DXY_NoLayer_NoSystem_fa;nodes;Displacement:X_NoLayer_NoSystem_false_None;Displacement:Y_NoLayer_NoSystem_false_None
179;6.16;-1.77;179;-0.29;-2.36
180;18.47;-1.63;180;-0.3;-2.42
181;-16.74;-1.63;181;-0.3;-2.48
182;-5.58;-1.77;182;-0.3;-2.54
183;-16.52;-1.63;183;-0.3;-2.6
184;-5.51;-1.77;184;-0.3;-2.66
185;-16.31;-1.63;185;-0.31;-2.72
186;-5.44;-1.77;186;-0.31;-2.78
187;-27.9;-1.34;187;-0.31;-2.84
188;-27.54;-1.34;188;-0.31;-2.91
189;-27.18;-1.34;189;-0.31;-2.97
190;-50.22;-0.35;190;-0.31;-3.03
191;-39.06;-0.91;191;-0.31;-3.09
192;-49.57;-0.35;192;-0.32;-3.16
193;-38.56;-0.91;193;-0.32;-3.22
194;-48.92;-0.35;194;-0.32;-3.28
195;-38.05;-0.91;195;-0.32;-3.35
196;-17.39;-1.63;196;-0.32;-3.41
197;-17.6;-1.63;197;-0.32;-3.48
198;-5.8;-1.77;198;-0.32;-3.54
199;-5.87;-1.77;199;-0.32;-3.6
200;-17.17;-1.63;200;-0.32;-3.67
201;-5.72;-1.77;201;-0.32;-3.73
202;-16.96;-1.63;202;-0.32;-3.8
203;-5.65;-1.77;203;-0.33;-3.86
204;-52.16;-0.35;204;-0.33;-3.93
205;-52.81;-0.35;205;-0.33;-4
206;-40.57;-0.91;206;-0.33;-4.06
207;-41.08;-0.91;207;-0.33;-4.13
208;-28.98;-1.34;208;-0.33;-4.19
209;-29.34;-1.34;209;-0.33;-4.26
210;-50.87;-0.35;210;-0.33;-4.32
211;-51.52;-0.35;211;-0.33;-4.39
212;-28.26;-1.34;212;-0.26;-4.39
213;-39.56;-0.91;213;-0.2;-4.39
214;-28.62;-1.34;214;-0.13;-4.39
215;-40.07;-0.91;215;-0.07;-4.39
216;39.06;-0.91;216;0;-4.39
217;50.22;-0.35;217;0.07;-4.39
218;38.56;-0.91;218;0.13;-4.39
219;49.57;-0.35;219;0.2;-4.39
220;38.05;-0.91;220;0.26;-4.39
221;48.92;-0.35;221;-0.2;-1.38
222;27.9;-1.34;222;-0.15;-1.38
223;27.54;-1.34;223;-0.1;-1.38
224;27.18;-1.34;224;-0.05;-1.38
225;5.58;-1.77;225;0;-1.38
226;16.74;-1.63;226;0.05;-1.38
227;5.44;-1.77;227;0.1;-1.38
228;5.51;-1.77;228;0.15;-1.38
229;16.31;-1.63;229;0.2;-1.38
230;16.52;-1.63;230;-0.11;-0.38
231;41.08;-0.91;231;-0.09;-0.38
232;52.81;-0.35;232;-0.06;-0.38
233;40.57;-0.91;233;-0.03;-0.38
234;52.16;-0.35;234;0;-0.38
235;39.56;-0.91;235;0.03;-0.38
236;40.07;-0.91;236;0.06;-0.38
237;50.87;-0.35;237;0.09;-0.38
238;51.52;-0.35;238;0.11;-0.38
239;5.8;-1.77;239;-0.06;-0.09
240;5.87;-1.77;240;-0.04;-0.09
241;17.39;-1.63;241;-0.03;-0.09
242;17.6;-1.63;242;-0.01;-0.09
243;28.98;-1.34;243;0;-0.09
244;29.34;-1.34;244;0.01;-0.09
245;5.65;-1.77;245;0.03;-0.09
246;5.72;-1.77;246;0.04;-0.09
247;16.96;-1.63;247;0.06;-0.09
248;17.17;-1.63;248;-0.03;-0.03
249;28.26;-1.34;249;-0.02;-0.02
250;28.62;-1.34;250;-0.01;-0.02
251;-15.44;-1.63;251;-0.01;-0.02
252;-5.15;-1.77;252;0;-0.02
